date,code,action,price,shares,info
2020-02-25,002382.SZ,BUY,17.85564,5500,SIGNAL
2020-02-25,002254.SZ,BUY,13.4268,7400,SIGNAL
2020-02-25,002675.SZ,BUY,16.39272,6000,SIGNAL
2020-02-25,603238.SH,BUY,25.551,3900,SIGNAL
2020-02-25,002448.SZ,BUY,5.811599999999999,17100,SIGNAL
2020-02-25,002870.SZ,SELL,22.8542,4200,STOP_LOSS (-4.3%)
2020-02-26,600651.SH,SELL,3.8722399999999997,24900,SIGNAL_LOST (-5.1%)
2020-02-26,002471.SZ,SELL,2.26546,44800,SIGNAL_LOST (-0.0%)
2020-02-26,603456.SH,BUY,21.2925,4700,SIGNAL
2020-02-27,002382.SZ,SELL,16.45702,5500,STOP_LOSS (-7.9%)
2020-02-27,603238.SH,SELL,24.95,3900,TRAILING_STOP (-2.4%)
2020-02-27,603456.SH,SELL,20.019879999999997,4700,STOP_LOSS (-6.1%)
2020-02-28,603456.SH,BUY,19.759439999999998,4900,SIGNAL
2020-02-28,002382.SZ,BUY,16.4328,5900,SIGNAL
2020-02-28,600126.SH,BUY,5.9619,16200,SIGNAL
2020-02-28,002448.SZ,SELL,5.335978656,17100,STOP_LOSS (-8.3%)
2020-03-02,002448.SZ,BUY,5.1603,19000,SIGNAL
2020-03-02,600661.SH,SELL,20.958,4800,TRAILING_STOP (1.4%)
2020-03-02,600126.SH,SELL,5.86824,16200,TRAILING_STOP (-1.6%)
2020-03-03,002254.SZ,SELL,13.91212,7400,SIGNAL_LOST (3.5%)
2020-03-03,002675.SZ,SELL,16.22748,6000,SIGNAL_LOST (-1.1%)
2020-03-03,002640.SZ,BUY,5.97192,16400,SIGNAL
2020-03-03,000655.SZ,BUY,5.7114,17200,SIGNAL
2020-03-03,600470.SH,BUY,3.59718,27300,SIGNAL
2020-03-03,603730.SH,BUY,35.07,2800,SIGNAL
2020-03-03,600338.SH,BUY,10.41078,9400,SIGNAL
2020-03-04,603456.SH,SELL,20.3093,4900,SIGNAL_LOST (2.7%)
2020-03-04,002382.SZ,SELL,17.65462,5900,SIGNAL_LOST (7.3%)
2020-03-04,601689.SH,BUY,21.543,4500,SIGNAL
2020-03-04,603318.SH,BUY,8.83764,11000,SIGNAL
2020-03-04,002268.SZ,BUY,31.332539999999998,3100,SIGNAL
2020-03-06,002640.SZ,SELL,6.2155439999999995,16400,TRAILING_STOP (4.0%)
2020-03-09,002448.SZ,SELL,5.34928,19000,SIGNAL_LOST (3.6%)
2020-03-09,002268.SZ,SELL,29.94,3100,STOP_LOSS (-4.5%)
2020-03-10,000655.SZ,SELL,5.36924,17200,SIGNAL_LOST (-6.1%)
2020-03-10,600470.SH,SELL,3.6926,27300,SIGNAL_LOST (2.6%)
2020-03-10,603730.SH,SELL,31.926019999999998,2800,SIGNAL_LOST (-9.0%)
2020-03-10,600338.SH,SELL,9.6806,9400,SIGNAL_LOST (-7.1%)
2020-03-10,601689.SH,SELL,20.5588,4500,SIGNAL_LOST (-4.6%)
2020-03-10,603318.SH,SELL,8.75246,11000,SIGNAL_LOST (-1.0%)
2020-03-10,002346.SZ,BUY,12.8757,7400,SIGNAL
2020-03-10,600158.SH,BUY,9.6693,9900,SIGNAL
2020-03-10,002832.SZ,BUY,25.83156,3700,SIGNAL
2020-03-10,000553.SZ,BUY,11.09214,8600,SIGNAL
2020-03-10,601515.SH,BUY,7.515,12700,SIGNAL
2020-03-11,000150.SZ,BUY,4.7094000000000005,20200,SIGNAL
2020-03-11,603948.SH,BUY,37.074,2500,SIGNAL
2020-03-11,002832.SZ,SELL,23.951999999999998,3700,STOP_LOSS (-7.4%)
2020-03-12,002832.SZ,BUY,23.76744,3800,SIGNAL
2020-03-12,002346.SZ,SELL,12.449052,7400,TRAILING_STOP (-3.4%)
2020-03-12,601515.SH,SELL,7.0159400000000005,12700,STOP_LOSS (-6.7%)
2020-03-12,603948.SH,SELL,34.03986384,2500,STOP_LOSS (-8.3%)
2020-03-13,002346.SZ,BUY,11.4228,7800,SIGNAL
2020-03-13,002227.SZ,BUY,17.324579999999997,5200,SIGNAL
2020-03-13,603948.SH,BUY,28.557,3100,SIGNAL
2020-03-13,601515.SH,BUY,6.43284,14000,SIGNAL
2020-03-13,600158.SH,SELL,9.233495999999999,9900,TRAILING_STOP (-4.6%)
