date,assets,market,positions,max_assets,dd
2022-05-17,540350.2480847795,BULL,9,1030554.0263425,0.4756701402618202
2022-05-18,535176.3879419796,BULL,9,1030554.0263425,0.4806906049929729
2022-05-19,535550.3560243795,BULL,9,1030554.0263425,0.4803277243745475
2022-05-20,536383.3560243795,BULL,9,1030554.0263425,0.4795194212883363
2022-05-23,539975.3560243795,BULL,9,1030554.0263425,0.4760339174640019
2022-05-24,524656.7929267796,BULL,8,1030554.0263425,0.49089831341611556
2022-05-25,529514.8835163796,BULL,6,1030554.0263425,0.4861842562532498
2022-05-26,528257.4202421795,BULL,10,1030554.0263425,0.4874044380603724
2022-05-27,523827.1318821796,BULL,8,1030554.0263425,0.4917033765407967
2022-05-30,520950.8607451796,BULL,8,1030554.0263425,0.49449437154297826
2022-05-31,526863.6959163796,BULL,9,1030554.0263425,0.48875684103020645
2022-06-01,524452.9524425796,BULL,9,1030554.0263425,0.4910961104058799
2022-06-02,538775.3559915795,BULL,11,1030554.0263425,0.4771983397088588
2022-06-06,538291.0871137795,BULL,9,1030554.0263425,0.47766825090751636
2022-06-07,531356.7346217795,BULL,6,1030554.0263425,0.4843970126363996
2022-06-08,533570.7449129795,BULL,8,1030554.0263425,0.4822486436672756
2022-06-09,523835.05831517954,BULL,9,1030554.0263425,0.49169568511191736
2022-06-10,538429.5329251795,BULL,10,1030554.0263425,0.47753390975910387
2022-06-13,546200.1646166996,BULL,8,1030554.0263425,0.4699936629667076
2022-06-14,529997.5859878996,BULL,10,1030554.0263425,0.48571586501981484
2022-06-15,531120.3052238995,BULL,10,1030554.0263425,0.48462643233865343
2022-06-16,538010.3052238995,BULL,10,1030554.0263425,0.4779407081321768
2022-06-17,532294.5200078995,BULL,9,1030554.0263425,0.48348703085752265
2022-06-20,540850.6925563795,BULL,9,1030554.0263425,0.4751845330458879
2022-06-21,540102.8994723795,BULL,7,1030554.0263425,0.47591015544402065
2022-06-22,534258.0694687795,BULL,10,1030554.0263425,0.4815816970169973
2022-06-23,534428.2731233394,BULL,9,1030554.0263425,0.48141653958690706
2022-06-24,542737.2500603395,BULL,10,1030554.0263425,0.4733539084927478
2022-06-27,546442.2500603395,BULL,10,1030554.0263425,0.4697587549100198
2022-06-28,543535.8807709394,BULL,10,1030554.0263425,0.4725789557098895
2022-06-29,528569.5131943395,BULL,9,1030554.0263425,0.48710159808868503
2022-06-30,538288.8450503394,BULL,8,1030554.0263425,0.4776704264979103
2022-07-01,535249.4671247394,BULL,8,1030554.0263425,0.48061969247320985
2022-07-04,536169.9711813395,BULL,9,1030554.0263425,0.47972647966430265
2022-07-05,535554.8561651395,BULL,10,1030554.0263425,0.48032335765466194
2022-07-06,528593.3358295395,BULL,10,1030554.0263425,0.4870784817506852
2022-07-07,530661.9952135395,BULL,9,1030554.0263425,0.4850711543024176
2022-07-08,537636.7470983394,BULL,9,1030554.0263425,0.4783031909482267
2022-07-11,536312.2790529394,BULL,9,1030554.0263425,0.47958839095865274
2022-07-12,528394.4859161394,BULL,9,1030554.0263425,0.48727143613087015
2022-07-13,527759.4177529394,BULL,9,1030554.0263425,0.48788767569421837
2022-07-14,527873.7481509394,BULL,10,1030554.0263425,0.487776734981672
2022-07-15,526010.2813945183,BULL,5,1030554.0263425,0.4895849533853539
2022-07-18,530700.9417203184,BULL,10,1030554.0263425,0.48503336248773987
2022-07-19,544035.8340921184,BULL,10,1030554.0263425,0.47209382508267395
2022-07-20,544216.8340921184,BULL,10,1030554.0263425,0.47191819139887536
2022-07-21,539379.8340921184,BULL,10,1030554.0263425,0.4766117832692277
2022-07-22,539212.4720601183,BULL,9,1030554.0263425,0.47677418332562654
2022-07-25,541158.7344369184,BULL,9,1030554.0263425,0.47488562403901885
2022-07-26,543682.6454489183,BULL,8,1030554.0263425,0.47243654233395055
2022-07-27,536623.7796053183,BULL,9,1030554.0263425,0.4792861258231853
2022-07-28,542446.5134573184,BULL,10,1030554.0263425,0.4736360252916631
2022-07-29,532659.5134573184,BULL,10,1030554.0263425,0.48313285879076134
2022-08-01,529832.8504425184,BULL,8,1030554.0263425,0.4858757164600793
2022-08-02,521794.06764231843,BULL,9,1030554.0263425,0.49367616417530497
2022-08-03,514290.1833063184,BULL,6,1030554.0263425,0.5009575721793392
2022-08-04,509889.7611693184,BULL,8,1030554.0263425,0.5052275299151965
2022-08-05,514602.56742831843,BULL,8,1030554.0263425,0.5006544496704605
2022-08-08,515397.07968757185,BULL,9,1030554.0263425,0.4998834932344615
2022-08-09,509219.3426715718,BULL,10,1030554.0263425,0.5058780717408647
2022-08-10,511644.3724155718,BULL,9,1030554.0263425,0.5035249396565561
2022-08-11,508216.8086763718,BULL,10,1030554.0263425,0.5068508824519713
2022-08-12,501868.8086763718,BULL,10,1030554.0263425,0.5130106759588964
2022-08-15,504858.72084877186,BULL,8,1030554.0263425,0.5101094091684386
2022-08-16,502037.78352570854,BULL,6,1030554.0263425,0.5128467109022204
2022-08-17,491716.70510330854,BULL,8,1030554.0263425,0.5228617883834372
2022-08-18,499845.1871361085,BULL,8,1030554.0263425,0.5149743008524357
2022-08-19,492924.5317717085,BULL,9,1030554.0263425,0.5216897715482922
2022-08-22,491012.3534443085,BULL,8,1030554.0263425,0.523545257314707
2022-08-23,498968.40781450854,BULL,10,1030554.0263425,0.5158250852840988
2022-08-24,489098.79647490854,BULL,9,1030554.0263425,0.525402080848929
2022-08-25,492032.32876322855,BULL,8,1030554.0263425,0.5225555223829634
2022-08-26,489370.399514307,BULL,8,1030554.0263425,0.5251385303387608
2022-08-29,478239.06705811736,BULL,6,1030554.0263425,0.5359398393159286
2022-08-30,472581.0037037636,BULL,9,1030554.0263425,0.5414301515263757
2022-08-31,460439.91377256357,BULL,8,1030554.0263425,0.5532112805316056
2022-09-01,460389.574080502,BULL,9,1030554.0263425,0.5532601277446336
2022-09-02,472824.83144570194,BULL,9,1030554.0263425,0.541193552827321
2022-09-05,468026.20881070197,BULL,9,1030554.0263425,0.5458499051507703
2022-09-06,471754.79626830196,BULL,10,1030554.0263425,0.5422318634350602
2022-09-07,467378.486647102,BULL,11,1030554.0263425,0.5464784235467429
2022-09-08,459698.125791102,BULL,9,1030554.0263425,0.5539310758674156
2022-09-09,469371.919747502,BULL,9,1030554.0263425,0.5445440920614981
2022-09-13,472539.935552502,BULL,9,1030554.0263425,0.5414700020826899
2022-09-14,475559.779552502,BULL,10,1030554.0263425,0.5385396908881206
2022-09-15,471302.403413302,BULL,9,1030554.0263425,0.5426708436762084
2022-09-16,460693.1562252855,BULL,6,1030554.0263425,0.5529655462505794
2022-09-19,459484.2480736871,BULL,7,1030554.0263425,0.5541386125049406
2022-09-20,463377.1198330871,BULL,10,1030554.0263425,0.5503611572140074
2022-09-21,466749.1198330871,BULL,10,1030554.0263425,0.547089130795395
2022-09-22,463513.1198330871,BULL,10,1030554.0263425,0.5502291893631973
2022-09-23,459665.92866828706,BULL,9,1030554.0263425,0.5539623184049167
2022-09-26,454807.6591892167,BULL,9,1030554.0263425,0.55867654915351
2022-09-27,455003.22807648964,BULL,9,1030554.0263425,0.5584867785230783
2022-09-28,448549.0357899296,BULL,6,1030554.0263425,0.5647496159111057
2022-09-29,445096.3736839296,BULL,10,1030554.0263425,0.5680999129530314
2022-09-30,444553.3435675715,BULL,7,1030554.0263425,0.5686268432278909
2022-10-10,430745.26139517146,BULL,8,1030554.0263425,0.5820255412286214
2022-10-11,430393.9859496476,BULL,7,1030554.0263425,0.5823664020050046
2022-10-12,438271.78827144764,BULL,9,1030554.0263425,0.574722161993873
2022-10-13,434735.3655066476,BULL,10,1030554.0263425,0.578153736345536
2022-10-14,437243.02642184764,BULL,9,1030554.0263425,0.5757204229518658
2022-10-17,441445.39126264764,BULL,9,1030554.0263425,0.5716426504786317
2022-10-18,434878.4403290476,BULL,6,1030554.0263425,0.578014903427763
2022-10-19,431364.83475984767,BULL,10,1030554.0263425,0.5814243370715961
2022-10-20,432556.13779184764,BULL,8,1030554.0263425,0.5802683539775046
2022-10-21,433183.66940224764,BULL,10,1030554.0263425,0.5796594275220647
2022-10-24,437511.2241196876,BULL,9,1030554.0263425,0.5754601768211589
2022-10-25,436197.3814426877,BULL,8,1030554.0263425,0.5767350664857628
2022-10-26,431999.0509772877,BULL,9,1030554.0263425,0.5808089241953873
2022-10-27,426726.52968472114,BULL,7,1030554.0263425,0.5859251249551661
2022-10-28,418206.0548717212,BULL,8,1030554.0263425,0.5941929834033444
2022-10-31,424433.48033791414,BULL,6,1030554.0263425,0.5881501896176615
2022-11-01,425669.5086339141,BULL,8,1030554.0263425,0.5869508072811654
2022-11-02,427675.0379789141,BULL,9,1030554.0263425,0.5850047381826654
2022-11-03,428412.1182669141,BULL,10,1030554.0263425,0.5842895109658878
2022-11-04,431890.1182669141,BULL,10,1030554.0263425,0.5809146272517912
2022-11-07,433372.99940091406,BULL,10,1030554.0263425,0.5794757108086981
2022-11-08,429957.93609671405,BULL,8,1030554.0263425,0.5827895237839578
2022-11-09,432223.05274371407,BULL,8,1030554.0263425,0.5805915636682335
2022-11-10,431436.9551597141,BULL,9,1030554.0263425,0.581354354908582
2022-11-11,434599.5968317141,BULL,8,1030554.0263425,0.5782854797296413
2022-11-14,429857.5360573141,BULL,9,1030554.0263425,0.5828869471473465
2022-11-15,429454.92836531403,BULL,8,1030554.0263425,0.5832776182637642
2022-11-16,422415.85530931404,BULL,9,1030554.0263425,0.5901079957850496
2022-11-17,427076.10194611404,BULL,8,1030554.0263425,0.5855859168666454
2022-11-18,422305.83868371404,BULL,9,1030554.0263425,0.5902147506205924
2022-11-21,422562.491031714,BULL,6,1030554.0263425,0.5899657075413945
2022-11-22,415507.699867314,BULL,9,1030554.0263425,0.5968113371581532
2022-11-23,414375.272971314,BULL,9,1030554.0263425,0.5979101896850983
2022-11-24,418166.796443714,BULL,10,1030554.0263425,0.5942310778913611
2022-11-25,411435.30491091404,BULL,8,1030554.0263425,0.6007629931143703
2022-11-28,409431.681725095,BULL,8,1030554.0263425,0.6027072125677938
2022-11-29,408685.52171009505,BULL,8,1030554.0263425,0.6034312503144108
2022-11-30,403560.78985109506,BULL,9,1030554.0263425,0.6084040433247763
2022-12-01,401993.78985109506,BULL,9,1030554.0263425,0.6099245846646236
2022-12-02,407697.88697109505,BULL,8,1030554.0263425,0.6043896035047865
2022-12-05,411709.53921309503,BULL,9,1030554.0263425,0.6004968893535085
2022-12-06,402909.4770240951,BULL,9,1030554.0263425,0.6090360459276009
2022-12-07,404014.4770240951,BULL,9,1030554.0263425,0.6079638071397697
2022-12-08,399277.4770240951,BULL,9,1030554.0263425,0.612560363825703
2022-12-09,402380.6849760951,BULL,7,1030554.0263425,0.6095491602665714
2022-12-12,396057.7551588951,BULL,8,1030554.0263425,0.6156846268753822
2022-12-13,395112.9034720839,BULL,8,1030554.0263425,0.6166014654521665
2022-12-14,394155.4284840839,BULL,9,1030554.0263425,0.6175305530725392
2022-12-15,397522.4284840839,BULL,9,1030554.0263425,0.6142633784131478
2022-12-16,394301.4284840839,BULL,9,1030554.0263425,0.6173888817032873
2022-12-19,384726.2638162839,BULL,9,1030554.0263425,0.6266801603971204
2022-12-20,379554.6438608746,BULL,7,1030554.0263425,0.6316984513583073
2022-12-21,385917.3601296479,BULL,8,1030554.0263425,0.6255243778928384
2022-12-22,386589.7111710479,BULL,7,1030554.0263425,0.6248719608198722
2022-12-23,379943.2408780479,BULL,6,1030554.0263425,0.631321375526046
2022-12-26,380094.82579374395,BULL,7,1030554.0263425,0.6311742848235488
2022-12-27,385820.50028234394,BULL,8,1030554.0263425,0.6256183660242979
2022-12-28,384088.23664394394,BULL,7,1030554.0263425,0.6272992712404445
2022-12-29,379264.19144394394,BULL,8,1030554.0263425,0.6319802923967257
2022-12-30,373709.1060535439,BULL,9,1030554.0263425,0.6373706797499392
2023-01-03,381119.1798373048,BULL,9,1030554.0263425,0.6301803009882748
2023-01-04,379501.3275333048,BULL,10,1030554.0263425,0.6317501869550901
2023-01-05,383683.3275333048,BULL,10,1030554.0263425,0.627692175542683
2023-01-06,391289.75291474484,BULL,8,1030554.0263425,0.6203112666461006
2023-01-09,388513.4654411448,BULL,10,1030554.0263425,0.6230052423161131
2023-01-10,385602.9483577448,BULL,9,1030554.0263425,0.62582946793554
2023-01-11,382288.17887534475,BULL,10,1030554.0263425,0.6290459606158552
2023-01-12,379800.17887534475,BULL,10,1030554.0263425,0.6314601960042026
2023-01-13,384871.2311057448,BULL,9,1030554.0263425,0.6265394911204446
2023-01-16,386799.53646414477,BULL,10,1030554.0263425,0.6246683564597577
2023-01-17,384299.2414759448,BULL,10,1030554.0263425,0.6270945223125791
2023-01-18,385170.2414759448,BULL,10,1030554.0263425,0.6262493458562887
2023-01-19,389895.2414759448,BULL,10,1030554.0263425,0.6216644333924858
2023-01-20,389791.2414759448,BULL,10,1030554.0263425,0.6217653499842817
2023-01-30,389767.8309307448,BULL,10,1030554.0263425,0.6217880664499901
2023-01-31,388954.7352911448,BULL,10,1030554.0263425,0.6225770553033797
2023-02-01,393739.7352911448,BULL,10,1030554.0263425,0.6179339217289253
2023-02-02,393859.7352911448,BULL,10,1030554.0263425,0.6178174795076223
2023-02-03,391788.7352911448,BULL,10,1030554.0263425,0.619827078176942
2023-02-06,392443.72126434476,BULL,10,1030554.0263425,0.6191915113299282
2023-02-07,390808.5542771447,BULL,10,1030554.0263425,0.6207781986315182
2023-02-08,388091.5542771447,BULL,10,1030554.0263425,0.6234146445921853
2023-02-09,387346.71284674475,BULL,9,1030554.0263425,0.6241374028478038
2023-02-10,383707.8390587448,BULL,10,1030554.0263425,0.6276683907387683
2023-02-13,386072.62215394474,BULL,10,1030554.0263425,0.6253737191012291
2023-02-14,383262.45566274476,BULL,8,1030554.0263425,0.6281005693384489
2023-02-15,381561.1574823448,BULL,10,1030554.0263425,0.6297514271653191
2023-02-16,375097.60731594474,BULL,9,1030554.0263425,0.636023344989307
2023-02-17,373051.62856674474,BULL,9,1030554.0263425,0.638008664241769
2023-02-20,379499.17258800764,BULL,7,1030554.0263425,0.6317522780102333
2023-02-21,376538.9984958077,BULL,9,1030554.0263425,0.6346246883997263
2023-02-22,379192.9984958077,BULL,9,1030554.0263425,0.6320493746052431
