threshold,max_pos,stop_loss,take_profit,cagr_opt,sharpe_opt,max_dd_opt,total_return_opt,n_trades_opt,win_rate_days_opt,monthly_win_rate_opt,n_months_opt,avg_trade_return_opt,trade_win_rate_opt,cagr_test,sharpe_test,max_dd_test,total_return_test,n_trades_test,win_rate_days_test,monthly_win_rate_test,n_months_test,avg_trade_return_test,trade_win_rate_test
0.5,2,-0.1,0.15,-0.953311001264414,-4.454826225317309,-0.9998538277763536,-0.9998534214168994,1161,0.30578512396694213,0.1111111111111111,36,-0.01410745618870483,0.35917312661498707,-0.8709846521600922,-2.2201939668501804,-0.9109759818150127,-0.9013316766227667,470,0.3333333333333333,0.13333333333333333,15,-0.008397118322453042,0.3680851063829787
0.5,3,0.0,0.0,-0.884777732286488,-5.570725134352971,-0.998074402314406,-0.9980215225249291,1565,0.31267217630853994,0.16666666666666666,36,-0.011492012740169488,0.3744408945686901,-0.9202299287154512,-4.919318819662348,-0.9411929551924992,-0.9427160033221049,646,0.312280701754386,0.26666666666666666,15,-0.012577217836391845,0.3637770897832817
0.5,3,0.0,0.05,-0.11157306058560446,0.05144907402504615,-0.7017503644831858,-0.28881658687589495,1565,0.3787878787878788,0.5,36,0.00015594533179500922,0.4159744408945687,0.03529527143870248,0.37784549805543666,-0.6506841016384836,0.04000859213675301,646,0.42105263157894735,0.5333333333333333,15,0.001317985049656992,0.4179566563467492
0.5,3,0.0,0.08,-0.44319225272829854,-0.8266644626959794,-0.8428983272152981,-0.8149074280798614,1565,0.3526170798898072,0.3888888888888889,36,-0.0024535993547852844,0.3891373801916933,-0.42727278548872283,-0.526922599309373,-0.7033720772501538,-0.4675847201086779,646,0.38596491228070173,0.3333333333333333,15,-0.0018151004915497222,0.37925696594427244
0.5,3,0.0,0.1,-0.626326199398267,-1.644659921413316,-0.9472623351889131,-0.9413359989318514,1565,0.3319559228650138,0.3333333333333333,36,-0.004704527640546986,0.3782747603833866,-0.5982248043253682,-1.0941489072027273,-0.7574029724775089,-0.6434472682982899,646,0.35789473684210527,0.3333333333333333,15,-0.003707371061658882,0.3715170278637771
0.5,3,0.0,0.15,-0.7638049897814144,-2.7628431601802803,-0.9849721283614442,-0.9843532989623502,1565,0.3209366391184573,0.25,36,-0.00732458126408636,0.37507987220447286,-0.7820818683968982,-2.1712092395145346,-0.8527189687688438,-0.8214987311622407,646,0.3263157894736842,0.26666666666666666,15,-0.007004706107632564,0.3668730650154799
0.5,3,-0.03,0.0,-0.9899193670540196,-10.294762771957,-0.9999982126687743,-0.999998229306356,1565,0.2024793388429752,0.0,36,-0.024626007517980452,0.28626198083067095,-0.9921706020688866,-9.089113898528897,-0.9956304302714291,-0.9958513472848093,646,0.21754385964912282,0.0,15,-0.024517454448082766,0.29721362229102166
0.5,3,-0.03,0.05,-0.9217161396536546,-3.8927626330975547,-0.999429584027188,-0.999350285757632,1565,0.28236914600550966,0.16666666666666666,36,-0.013002216022186285,0.3258785942492013,-0.8971161093912395,-2.9572302763994442,-0.9297451819977751,-0.923614325710084,646,0.3263157894736842,0.06666666666666667,15,-0.010664485592578571,0.34210526315789475
0.5,3,-0.03,0.08,-0.9498336781030374,-4.713390284629312,-0.9998263474092188,-0.9998197191455845,1565,0.2534435261707989,0.08333333333333333,36,-0.015466615349296933,0.30287539936102237,-0.9439500161505934,-3.895217231382463,-0.9647540719511344,-0.9615675144241064,646,0.30526315789473685,0.0,15,-0.013853419342926294,0.3126934984520124
0.5,3,-0.03,0.1,-0.9659837037897742,-5.518479474898528,-0.9999408199244874,-0.9999411345812663,1565,0.23140495867768596,0.1111111111111111,36,-0.01763469843173063,0.2926517571884984,-0.9603581664602862,-4.4661614854422815,-0.9754926987011805,-0.9740236200951731,646,0.2807017543859649,0.0,15,-0.0156808497814081,0.3065015479876161
0.5,3,-0.03,0.15,-0.9792152214991179,-6.981900532883932,-0.9999856263779466,-0.9999857601764873,1565,0.2190082644628099,0.0,36,-0.02045329753099303,0.2869009584664537,-0.9794890353518471,-5.728484644357046,-0.9880522520803793,-0.9876707503938152,646,0.23859649122807017,0.0,15,-0.019196060710379555,0.30030959752321984
0.5,3,-0.05,0.0,-0.9823970303351297,-8.905928266887528,-0.9999911832333004,-0.9999911769927058,1565,0.2465564738292011,0.05555555555555555,36,-0.02158590811124548,0.33099041533546325,-0.9891949647348953,-8.256001603239937,-0.9937099159467492,-0.9940279304583083,646,0.256140350877193,0.0,15,-0.02282073221131005,0.3235294117647059
0.5,3,-0.05,0.05,-0.8577669670167973,-2.8689601488984726,-0.9968286465215784,-0.9963706012074319,1565,0.30991735537190085,0.19444444444444445,36,-0.009708305706412472,0.3731629392971246,-0.8463374542302994,-2.326370241823008,-0.8928686971707208,-0.8797604976855226,646,0.35789473684210527,0.13333333333333333,15,-0.00853193780689519,0.37770897832817335
0.5,3,-0.05,0.08,-0.9112561359106314,-3.706959502940594,-0.9991059879106693,-0.999067526214512,1565,0.2878787878787879,0.16666666666666666,36,-0.012325075806209273,0.34760383386581467,-0.9211230624697293,-3.316920592971775,-0.9498005897250907,-0.9434408307492863,646,0.3333333333333333,0.06666666666666667,15,-0.012030155261345477,0.34055727554179566
0.5,3,-0.05,0.1,-0.9405455658588219,-4.52507453842014,-0.9997063603255174,-0.9997059080096329,1565,0.2699724517906336,0.1388888888888889,36,-0.014574385120827477,0.33610223642172526,-0.9466469942094563,-3.9613566661779895,-0.966542529372865,-0.9636522679425077,646,0.312280701754386,0.06666666666666667,15,-0.014105263718403137,0.33126934984520123
0.5,3,-0.05,0.15,-0.9636832275900383,-5.885291674392823,-0.9999289718916957,-0.999928921617298,1565,0.25895316804407714,0.08333333333333333,36,-0.017400418571542408,0.331629392971246,-0.9713511445145058,-5.136891548503186,-0.9831907198821452,-0.9820087308351477,646,0.2736842105263158,0.0,15,-0.01743741896896288,0.326625386996904
0.5,3,-0.07,0.0,-0.9707861124706768,-7.758385407351668,-0.9999620572587818,-0.9999620304025344,1565,0.2768595041322314,0.08333333333333333,36,-0.018829388235205607,0.3539936102236422,-0.9810268036327533,-7.1852275704079185,-0.9881097634916947,-0.9887109109045908,646,0.28421052631578947,0.0,15,-0.019909093483661534,0.34674922600619196
0.5,3,-0.07,0.05,-0.7703502324180013,-2.1213980459648756,-0.9874610315727714,-0.9855701571664761,1565,0.3402203856749311,0.3055555555555556,36,-0.007102419327716474,0.39552715654952075,-0.741355086995704,-1.609136782456084,-0.8225733818185715,-0.7833313267596487,646,0.3824561403508772,0.26666666666666666,15,-0.005840426039493982,0.40092879256965946
0.5,3,-0.07,0.08,-0.8590732506122298,-2.9815933884741104,-0.9966300573175633,-0.9964658041769727,1565,0.3154269972451791,0.19444444444444445,36,-0.009813048622693901,0.36869009584664536,-0.8663826197136746,-2.5959161794638557,-0.9158493841475884,-0.8973420411177032,646,0.35789473684210527,0.13333333333333333,15,-0.009312870723412693,0.3622291021671827
0.5,3,-0.07,0.1,-0.905190804306917,-3.7762498447162605,-0.9988736160834881,-0.9988718810272889,1565,0.2975206611570248,0.16666666666666666,36,-0.012041903135583107,0.35782747603833864,-0.9053285310837407,-3.14402366147502,-0.9408932011759424,-0.9304731471674571,646,0.3368421052631579,0.06666666666666667,15,-0.011136564640062544,0.3544891640866873
0.5,3,-0.07,0.15,-0.94006892847226,-4.926298380736709,-0.9996992771332716,-0.9996990642786514,1565,0.2878787878787879,0.1388888888888889,36,-0.01466195675912248,0.3546325878594249,-0.9490247316607509,-4.289627894391648,-0.9683344612194522,-0.9654788565782616,646,0.3017543859649123,0.06666666666666667,15,-0.014463860736670402,0.3498452012383901
0.5,3,-0.1,0.0,-0.945062529621251,-6.604897030981063,-0.9997673342830325,-0.9997657812759833,1565,0.2975206611570248,0.08333333333333333,36,-0.01542640255168204,0.3680511182108626,-0.9614809472976356,-5.875231279033355,-0.9735151179728755,-0.9748541424994561,646,0.3087719298245614,0.06666666666666667,15,-0.01624556375340869,0.3637770897832817
0.5,3,-0.1,0.05,-0.5632355364758846,-1.1221967336019794,-0.9250976596402632,-0.9080462193598318,1565,0.3608815426997245,0.3611111111111111,36,-0.003634717894401848,0.41022364217252394,-0.49734430121326745,-0.6624025148184407,-0.7245838163438856,-0.5406419983116135,646,0.40350877192982454,0.4,15,-0.002384760592162056,0.4179566563467492
0.5,3,-0.1,0.08,-0.7340594741383131,-2.001383113700463,-0.9804112992527494,-0.9779792755518996,1565,0.3347107438016529,0.3055555555555556,36,-0.006387989166297837,0.3827476038338658,-0.7221309013586468,-1.5541142296576371,-0.8119583804033633,-0.7650314108816562,646,0.37543859649122807,0.26666666666666666,15,-0.005517846133368769,0.37925696594427244
0.5,3,-0.1,0.1,-0.8217296634167026,-2.7943464960060673,-0.9934457058091953,-0.9930434404811415,1565,0.3181818181818182,0.25,36,-0.00863891745205954,0.3718849840255591,-0.8053288659656653,-2.1183009202453724,-0.8704482931917232,-0.8428791189263787,646,0.35789473684210527,0.13333333333333333,15,-0.007410116703477931,0.3715170278637771
0.5,3,-0.1,0.15,-0.8872975348804568,-3.9055747358925426,-0.9981559355299783,-0.998143626689816,1565,0.3085399449035813,0.16666666666666666,36,-0.011258971075598914,0.36869009584664536,-0.8944469686465533,-3.2158559171714187,-0.9297102937836447,-0.921369348391059,646,0.3263157894736842,0.06666666666666667,15,-0.01070745174945161,0.3668730650154799
0.5,5,0.0,0.0,-0.7860053056527497,-5.682365738548655,-0.98850619330064,-0.9882260294433007,2151,0.31267217630853994,0.16666666666666666,36,-0.010056412741894213,0.38354253835425384,-0.8958883833167747,-5.049590825036431,-0.9210086126670931,-0.9225826377364585,903,0.29473684210526313,0.2,15,-0.013516184118961817,0.3588039867109635
0.5,5,0.0,0.05,0.1178825502627463,0.4794760276349552,-0.636802392803243,0.37856447091361534,2151,0.39807162534435264,0.5,36,0.0012301598073928732,0.42445374244537426,-0.15016710820827528,-0.0054831161992778335,-0.6431818358937783,-0.1680837755341188,903,0.41403508771929826,0.5333333333333333,15,-1.9691673289707768e-05,0.4097452934662237
0.5,5,0.0,0.08,-0.249626576190091,-0.5871783946024485,-0.7044779778378478,-0.5627998969380188,2151,0.3650137741046832,0.4166666666666667,36,-0.0014643220610702056,0.397954439795444,-0.49365530601308216,-0.9222947512516646,-0.6827568827774959,-0.5368274661210377,903,0.3649122807017544,0.4,15,-0.0032778085393666196,0.37320044296788485
