trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2025-03-11,1259046.188690236,1259046.188690236,1386060.544845536,1445496.3745293717
2025-03-12,1272328.169465587,1272328.169465587,1393401.7952133005,1448857.4224244144
2025-03-13,1271091.8376006568,1271091.8376006568,1383027.3750895665,1426768.8027507893
2025-03-14,1293191.364064403,1293191.364064403,1403913.3555812102,1449784.7221685965
2025-03-17,1308477.6264836655,1308477.6264836655,1411842.2133478525,1453843.1753673172
2025-03-18,1311327.7230511808,1311327.7230511808,1417756.8573729985,1458776.418831487
2025-03-19,1314723.5474583465,1314723.5474583465,1413578.2744780842,1448351.9635345931
2025-03-20,1320485.6304909294,1320485.6304909294,1414355.7957155309,1441818.0634813115
2025-03-21,1305217.1297502508,1305217.1297502508,1396753.2055824418,1413257.5402398
2025-03-24,1278022.147045942,1278022.147045942,1378440.34427502,1403269.707877414
2025-03-25,1285682.7650312695,1285682.7650312695,1376248.7027597534,1392331.6304524082
2025-03-26,1301753.2241485494,1301753.2241485494,1388150.4792125719,1397658.4743790145
2025-03-27,1293823.9651120703,1293823.9651120703,1380580.2305363726,1396303.5974508629
2025-03-28,1268107.5619535656,1268107.5619535656,1363197.9639364865,1382967.5136210243
2025-03-31,1257484.6414670001,1257484.6414670001,1346279.9484203397,1373773.5010253685
2025-04-01,1271444.6865677051,1271444.6865677051,1360495.2460542892,1381017.8234379806
2025-04-02,1270107.2742395895,1270107.2742395895,1362329.0135402014,1384938.1634699495
2025-04-03,1274705.0861788488,1274705.0861788488,1358063.502411528,1368612.5694013145
2025-04-07,1185285.9440495695,1185285.9440495695,1237764.620064467,1212669.5664548269
2025-04-08,1190081.609663557,1181907.8725354825,1222055.5739907722,1220077.3742613096
2025-04-09,1216206.1017486556,1181907.8725354825,1245394.819865674,1247062.613140828
2025-04-10,1254047.1393566583,1181907.8725354825,1276823.6506633922,1276241.7774679181
2025-04-11,1270101.7757446107,1181907.8725354825,1283745.548801895,1293363.1769558403
2025-04-14,1299576.519935934,1181907.8725354825,1308477.4259097492,1310205.4819454544
2025-04-15,1304260.875735184,1181907.8725354825,1309016.226363316,1304800.7563129964
2025-04-16,1289764.6198054743,1181907.8725354825,1293686.494195671,1287441.5197743417
2025-04-17,1316539.8163193143,1181907.8725354825,1302083.5519866473,1288371.6876833283
2025-04-18,1307283.3558306554,1181907.8725354825,1300486.5235856695,1286633.8004397117
2025-04-21,1320340.331234927,1181907.8725354825,1319569.0007571809,1313318.7645269788
2025-04-22,1324088.074096055,1181907.8725354825,1324028.4298162276,1312585.1762211486
2025-04-23,1318884.8249891764,1181907.8725354825,1328147.593130051,1320366.9485925585
2025-04-24,1301524.8111763152,1181907.8725354825,1321438.6950652555,1306223.586684214
2025-04-25,1300719.35807414,1181907.8725354825,1325846.7122989446,1310420.8149338723
2025-04-28,1275660.4084575851,1181907.8725354825,1307328.0566222763,1296643.695608288
2025-04-29,1286037.1845159368,1181907.8725354825,1314912.2039627053,1302451.5087098442
2025-04-30,1298317.2444667628,1181907.8725354825,1321497.1479510884,1312762.7818109812
2025-05-06,1327092.832282754,1181907.8725354825,1353006.2166615687,1346475.8528101945
2025-05-07,1343922.7339551488,1181907.8725354825,1363727.0768969872,1348367.297184896
2025-05-08,1363475.456568743,1181907.8725354825,1375124.1451593149,1358644.5935644996
2025-05-09,1376329.1771337772,1197330.7646473597,1365742.4149580419,1341877.964000119
2025-05-12,1392192.293846179,1213412.3265149335,1380110.8277075505,1360714.9672974052
2025-05-13,1391403.92866431,1213053.0133560742,1380193.940321211,1357085.4150510253
2025-05-14,1392072.830470932,1214735.2729383786,1384683.2101454232,1359150.4937104452
2025-05-15,1414931.8392719622,1237404.6772833636,1375347.302201356,1336352.113561676
2025-05-16,1399848.7260650548,1223071.3845730377,1381190.928303481,1338796.893115632
2025-05-19,1431025.77622094,1253541.7897736945,1395953.633205072,1344802.388960654
2025-05-20,1455622.7941449198,1276813.7529705768,1407279.148797095,1355983.8191379395
2025-05-21,1480147.5343652384,1301494.659391683,1404553.853630067,1352931.209273438
2025-05-22,1474546.1440881037,1296471.1657977023,1389479.7105451438,1338352.5481989572
2025-05-23,1451416.4876363962,1272983.7559193843,1375137.8655895386,1321490.386683772
2025-05-26,1469191.1184110856,1289693.486609225,1385983.6847723569,1330119.3708128924
2025-05-27,1495879.1125975924,1314491.7239064623,1391964.4772145718,1325634.8848266352
2025-05-28,1497469.2290934925,1318274.2350675059,1389985.8774080307,1320338.928828696
2025-05-29,1507653.913570486,1326994.5149240098,1406877.2274635858,1343531.7919521497
2025-05-30,1500653.6091628687,1319614.8165001294,1391947.5074324023,1329628.2527470947
2025-06-03,1501737.0757093353,1317866.4136771117,1401431.6086156357,1339220.498994487
2025-06-04,1521559.303755878,1336017.7209522664,1416917.635969276,1350943.5710637465
2025-06-05,1515741.779772419,1331191.251327815,1417504.6518662407,1360616.5671817958
2025-06-06,1523128.8818830939,1343733.8549354735,1420413.2692732792,1357490.2675446186
2025-06-09,1539187.4298409903,1357179.1725444738,1434685.8902885998,1372077.9743696372
2025-06-10,1538376.875667735,1356343.1480467275,1425740.3432466465,1359442.1640082814
2025-06-11,1547980.882302536,1364910.0861614055,1434223.9758773171,1364918.1525047342
2025-06-12,1538544.247384008,1356755.9094817038,1434785.1207023296,1366177.4974820814
2025-06-13,1479472.2596153733,1319783.2818277876,1412091.819703712,1347156.711009229
2025-06-16,1487822.756560299,1328497.0799387284,1420567.0397864534,1356302.1854312662
2025-06-17,1482302.7266696263,1323352.2000997083,1420479.148600658,1354980.1820843385
2025-06-18,1466444.84472579,1309413.5695974443,1412372.4843381126,1353638.3222118397
2025-06-19,1447855.2529192718,1292742.847076322,1389121.368531465,1334407.9390801787
2025-06-20,1430862.1334537838,1278430.8185235194,1381346.7497887562,1323678.1345456103
2025-06-23,1449221.6544945019,1294429.0186482004,1399676.1450343425,1341026.3396811695
2025-06-24,1475773.3738948847,1318953.6028196681,1423676.281739165,1366717.153721498
2025-06-25,1471069.59581257,1315916.2692882118,1434851.1958964863,1384697.6788824736
2025-06-26,1477788.4356245492,1321247.2229187372,1432377.0903196095,1378438.0195101385
2025-06-27,1477592.8130945896,1321282.209341384,1439489.8928997894,1384868.445002387
2025-06-30,1484798.7417113923,1328519.4237953476,1453857.2871802496,1402351.8951398937
2025-07-01,1497203.670492722,1338222.5716027878,1460742.1614260608,1406232.080864596
2025-07-02,1498087.1268706296,1338621.336066302,1459434.3749480904,1392049.2265331708
2025-07-03,1503218.2271890813,1343637.1464370214,1466512.3565007048,1399363.9292975299
2025-07-04,1482962.7859411389,1325219.2956046287,1457185.305628945,1392647.7904651158
2025-07-07,1497235.3467651336,1337312.3030007246,1467396.1939106002,1395944.4149660827
2025-07-08,1504145.963083775,1342169.94260241,1481608.3685171292,1413717.9910049925
2025-07-09,1501836.759312526,1338451.804071526,1481022.942765565,1409916.1282422661
2025-07-10,1505830.0540641802,1340875.462727144,1488189.590208363,1413468.6812950415
2025-07-11,1512023.456178404,1345212.704261775,1492594.6282790003,1425499.9707667807
