ma_window,val_window,q_threshold,val_coeff,is_cagr,is_mdd,is_sharpe,is_vol
220,1100,0.12,0.5,0.02209623505482039,-0.21449336615787262,0.27057776495033736,0.10346775783565784
220,1100,0.12,0.6,0.017720985764360764,-0.2546416280784138,0.21075629235550536,0.1214235121522734
220,1100,0.12,0.7,0.009083018646889318,-0.28886744596950154,0.13727745278425213,0.1366046293305649
220,1100,0.12,0.8,0.0025931026461345486,-0.3192152386890082,0.0929503755548863,0.14854894135248367
220,1100,0.15,0.4,0.02673366105812547,-0.1685192920604405,0.3674110517328369,0.08392998116343219
220,1100,0.15,0.5,0.02980698420237049,-0.21896534443163518,0.338414072377371,0.10669374974253391
220,1100,0.15,0.6,0.020507465243440937,-0.25786991000010373,0.23159364519899928,0.1241242755584212
220,1100,0.15,0.7,0.01100420525338408,-0.2882530076990462,0.15152847602564648,0.13784084949667882
220,1100,0.15,0.8,0.0031505185643176947,-0.31737559550376765,0.09714770567629415,0.1495161129015354
220,1100,0.18,0.4,0.02901679077904129,-0.16821971196799482,0.3862924281315623,0.08629714390789338
220,1100,0.18,0.5,0.03301926904255259,-0.21445067709293197,0.36311956347007396,0.10898427258934534
220,1100,0.18,0.6,0.02299365212029758,-0.2570124002058935,0.24955077912836804,0.12644121931320462
220,1100,0.18,0.7,0.014105603150631252,-0.284969054243899,0.17423535108439336,0.1388812775564887
220,1100,0.18,0.8,0.00515563025587773,-0.31145413224400675,0.1111686475585878,0.15031585807375317
220,1100,0.2,0.4,0.028045057460211575,-0.17851856450972736,0.3765672606469833,0.08582830294455297
220,1100,0.2,0.5,0.02865512676924742,-0.2348226111463718,0.31971814769389895,0.11068190479969253
220,1100,0.2,0.6,0.019689331681588707,-0.27079245607126057,0.221336340812416,0.12885074153168527
220,1100,0.2,0.7,0.014719847493559035,-0.28664165579745693,0.1782865479190582,0.1405841242045966
