vol_target,val_tilt,strike_ratio,is_cagr,is_mdd,is_sharpe,is_calmar,oos_cagr,oos_mdd,oos_sharpe,oos_calmar
0.06,0.4,0.95,0.045806002539563906,-0.05955154579443381,0.9138919040279853,0.7691824272317265,0.11030458378079522,-0.043364805181814195,2.149655689870231,2.543643014613459
0.06,0.4,0.97,0.04565659172460079,-0.05700764415813184,0.9077968052200345,0.8008854321002163,0.10999825901861926,-0.043364805181814195,2.144544721462915,2.5365791119649486
0.06,0.4,1.0,0.044494234988617265,-0.054267274363407385,0.8783661467602064,0.8199091535472415,0.10983308261894709,-0.043364805181814195,2.1438930099884033,2.532770115268673
0.06,0.6,0.95,0.044866624622899476,-0.06093069083289292,0.8922878313561177,0.7363550947739889,0.11164233260376077,-0.045273572895464936,2.129983190201732,2.4659492384561505
0.06,0.6,0.97,0.04472036086484943,-0.05819346087869219,0.8867104352047415,0.7684774232292481,0.11135442356276815,-0.045273572895464936,2.125286547391528,2.45958992058969
0.06,0.6,1.0,0.04359293021577315,-0.05700296206458695,0.8590539153778678,0.764748508443831,0.11120428853214492,-0.045273572895464936,2.124796289922524,2.4562737469143787
0.06,0.8,0.95,0.0440113492353682,-0.06257179650120114,0.8733763644057151,0.7033735915593115,0.11284772446221325,-0.047118728919293494,2.108977694307829,2.3949653789579624
0.06,0.8,0.97,0.04386852020516829,-0.05961361588299329,0.8682960491990144,0.735880881496457,0.11257847022661593,-0.047118728919293494,2.104680957741345,2.3892510007951198
0.06,0.8,1.0,0.04279075492225615,-0.05796389597498824,0.8425659069575796,0.7382311730860984,0.112443463160667,-0.047118728919293494,2.10434693784132,2.386385748080426
0.07,0.0,0.95,0.0499010078178983,-0.06447582025097329,0.9399237057170615,0.7739491738710378,0.10960639321105359,-0.03942350532232095,2.2191056759213734,2.7802295182766565
0.07,0.0,0.97,0.04970676930647833,-0.061402947214196396,0.9317550424005528,0.8095176463286455,0.10926323642856861,-0.03942350532232095,2.213152598527251,2.7715251481380965
0.07,0.0,1.0,0.048311485898128614,-0.06201225388477392,0.8966953506628043,0.7790635377952405,0.1090679111408599,-0.03942350532232095,2.2121947811139377,2.7665706093138147
0.07,0.2,0.95,0.04956751705053497,-0.06462632942702744,0.9300477913733763,0.7669864200860105,0.11193231151013783,-0.04138962466366733,2.211329047671196,2.704356766211372
0.07,0.2,0.97,0.04937980745205928,-0.06168523178040503,0.9224699385276325,0.8005126353070671,0.11160690333019962,-0.04138962466366733,2.205828892147873,2.6964946949173587
0.07,0.2,1.0,0.04803865532781182,-0.06100482107172051,0.8894743792659103,0.7874567039764778,0.11142630340398019,-0.04138962466366733,2.20504874240462,2.692131284335915
0.07,0.4,0.95,0.04892412024927939,-0.06596244608362936,0.915507161664544,0.741696573642096,0.11418143446563223,-0.04336480518181432,2.202555623588311,2.6330438701824472
0.07,0.4,0.97,0.04874340359472429,-0.06303113939854398,0.9085324837081726,0.7733225840409013,0.11387404010923596,-0.04336480518181432,2.197490675018106,2.6259553025039475
0.07,0.4,1.0,0.04745952664030595,-0.060850083946835186,0.8776362619285607,0.7799418433304285,0.11370828696310387,-0.04336480518181432,2.196881548633435,2.622133005933326
0.07,0.6,0.95,0.047988919599090796,-0.06884047685668998,0.8952057152433165,0.6971032420212991,0.11596489975290969,-0.04527357289546365,2.187500048486189,2.561425845949287
