trade_date,nav,cash,holdings_val,benchmark
2024-07-25,831969.8569524823,715121.6328918007,116848.22406068153,768502.9551324901
2024-07-26,831969.8569524823,715121.6328918007,116848.22406068153,781119.0289754356
2024-07-29,824700.0187333594,0.0,824700.0187333594,782173.272576426
2024-07-30,822576.4633493413,705728.2392886598,116848.22406068153,786811.1136781225
2024-07-31,822576.4633493413,705728.2392886598,116848.22406068153,811956.0009448703
2024-08-01,822576.4633493413,705728.2392886598,116848.22406068153,812383.3268787101
2024-08-02,822576.4633493413,705728.2392886598,116848.22406068153,805187.934080511
2024-08-05,822576.4633493413,705728.2392886598,116848.22406068153,789525.7058349702
2024-08-06,822576.4633493413,705728.2392886598,116848.22406068153,802174.9405960832
2024-08-07,822576.4633493413,705728.2392886598,116848.22406068153,801811.3631254068
2024-08-08,822576.4633493413,705728.2392886598,116848.22406068153,802726.5104887368
2024-08-09,822576.4633493413,705728.2392886598,116848.22406068153,797137.5432051694
2024-08-12,814820.9581074594,0.0,814820.9581074594,791346.0340320132
2024-08-13,816590.2500597164,0.0,816590.2500597164,795361.3309367873
2024-08-14,811314.5877521572,0.0,811314.5877521572,790466.7050135712
2024-08-15,815927.6397077241,0.0,815927.6397077241,796258.3810443402
2024-08-16,813185.1975404415,0.0,813185.1975404415,789777.980734693
2024-08-19,818067.3063937866,0.0,818067.3063937866,789094.3218198773
2024-08-20,810036.1310792073,0.0,810036.1310792073,776089.115240386
2024-08-21,808300.2574569754,0.0,808300.2574569754,773806.8659224256
2024-08-22,806268.1832188161,675326.005148414,130942.17807040195,763801.7824280468
2024-08-23,806268.1832188161,675326.005148414,130942.17807040195,761120.6782690567
2024-08-26,808362.969014201,0.0,808362.969014201,768975.5075214657
2024-08-27,805099.4346158074,0.0,805099.4346158074,759980.2127023196
2024-08-28,803923.2324454404,0.0,803923.2324454404,763065.2001132553
2024-08-29,801904.2892823152,670962.1112119132,130942.17807040195,772186.0098608778
2024-08-30,801904.2892823152,670962.1112119132,130942.17807040195,785618.4139784969
2024-09-02,801904.2892823152,670962.1112119132,130942.17807040195,775450.0272633971
2024-09-03,801904.2892823152,670962.1112119132,130942.17807040195,782364.1004310678
2024-09-04,801904.2892823152,670962.1112119132,130942.17807040195,777176.4056337593
2024-09-05,801904.2892823152,670962.1112119132,130942.17807040195,784128.7949688002
2024-09-06,801904.2892823152,670962.1112119132,130942.17807040195,772988.3336255125
2024-09-09,801904.2892823152,670962.1112119132,130942.17807040195,771119.8922351752
2024-09-10,801904.2892823152,670962.1112119132,130942.17807040195,773051.5835541209
2024-09-11,801904.2892823152,670962.1112119132,130942.17807040195,768398.6981842384
2024-09-12,801904.2892823152,670962.1112119132,130942.17807040195,767647.4625058235
2024-09-13,801904.2892823152,670962.1112119132,130942.17807040195,760140.0826520151
2024-09-18,801904.2892823152,670962.1112119132,130942.17807040195,757093.0941947362
2024-09-19,801904.2892823152,670962.1112119132,130942.17807040195,775030.5265523419
2024-09-20,801904.2892823152,670962.1112119132,130942.17807040195,773741.6673287216
2024-09-23,801904.2892823152,670962.1112119132,130942.17807040195,775996.4955623915
2024-09-24,801904.2892823152,670962.1112119132,130942.17807040195,802689.0801274452
2024-09-25,801904.2892823152,670962.1112119132,130942.17807040195,812588.3171611136
