trade_date,nav_cs20_full
2022-09-15,1112474.5194722055
2022-09-16,1107793.3544019386
2022-09-19,1104562.534771013
2022-09-20,1108490.3729932806
2022-09-21,1107436.4475305458
2022-09-22,1105424.9101553673
2022-09-23,1099674.2106570988
2022-09-26,1099340.2046315547
2022-09-27,1101822.3721854065
2022-09-28,1093896.2069484273
2022-09-29,1093898.6805707149
2022-09-30,1091365.9029730295
2022-10-10,1086319.055367068
2022-10-11,1086048.5603279043
2022-10-12,1092691.820299786
2022-10-13,1093250.7006018807
2022-10-14,1102476.077093358
2022-10-17,1102448.8446078924
2022-10-18,1102608.684880191
2022-10-19,1095152.8789021787
2022-10-20,1091692.5993014462
2022-10-21,1089130.942470303
2022-10-24,1081885.0536659055
2022-10-25,1077974.823577788
2022-10-26,1081973.2732384088
2022-10-27,1076720.6096821446
2022-10-28,1065515.3549421367
2022-10-31,1065492.2438242813
2022-11-01,1070045.6526300071
2022-11-02,1073367.1829951708
2022-11-03,1072556.6293979038
2022-11-04,1078063.365226384
2022-11-07,1076338.6096940602
2022-11-08,1076035.358097182
2022-11-09,1078752.6966677634
2022-11-10,1076858.1373477331
2022-11-11,1081156.8906759198
2022-11-14,1078655.504780621
2022-11-15,1080785.863240476
2022-11-16,1078817.2679539646
2022-11-17,1081686.7087847518
2022-11-18,1076125.3693086943
2022-11-21,1079326.6920673952
2022-11-22,1074776.7966892775
2022-11-23,1074465.4534284705
2022-11-24,1075817.1416024005
2022-11-25,1075398.3320550693
2022-11-28,1072676.1818424927
2022-11-29,1076524.2981510577
2022-11-30,1077007.0096532914
2022-12-01,1078060.1349447046
2022-12-02,1081823.3277182789
2022-12-05,1081508.1452711187
2022-12-06,1078954.4507322581
2022-12-07,1078829.5580918053
2022-12-08,1081742.8394157256
2022-12-09,1083810.2198956984
2022-12-12,1081062.932673849
2022-12-13,1075047.9474122543
2022-12-14,1073145.6602595986
2022-12-15,1072080.8800244138
2022-12-16,1068624.20949411
2022-12-19,1064865.6235443272
2022-12-20,1060324.7973287618
2022-12-21,1060454.925508974
2022-12-22,1061735.8956828408
2022-12-23,1061094.3263454689
2022-12-26,1062514.4328254107
2022-12-27,1065348.9992260414
2022-12-28,1066977.8903832212
2022-12-29,1062769.8898091787
2022-12-30,1062361.9677548578
2023-01-03,1064641.946708081
2023-01-04,1064550.5345482766
2023-01-05,1067375.9839646264
2023-01-06,1066190.0470456285
2023-01-09,1070713.1569230773
2023-01-10,1068834.7934406619
2023-01-11,1067928.5458874344
2023-01-12,1065455.7603869166
2023-01-13,1069561.350458218
2023-01-16,1071226.7130129358
2023-01-17,1070551.8737474105
2023-01-18,1071695.208991809
2023-01-19,1070495.2642911305
2023-01-20,1073206.2063351898
2023-01-30,1076997.9336216042
2023-01-31,1074498.6579503147
2023-02-01,1079924.7794361685
2023-02-02,1080562.7336706012
2023-02-03,1076034.5790385301
2023-02-06,1069819.3894490297
2023-02-07,1069095.4012219943
2023-02-08,1066945.7405194668
2023-02-09,1069400.381869319
2023-02-10,1065436.925915433
2023-02-13,1067739.1250843827
2023-02-14,1066457.9175415502
2023-02-15,1066265.9429131628
2023-02-16,1059588.7222787968
2023-02-17,1052944.0999108981
2023-02-20,1058817.1857690809
2023-02-21,1061297.0735452932
2023-02-22,1062464.2002678285
2023-02-23,1062297.6483298356
2023-02-24,1059393.9229330076
2023-02-27,1058675.0485654883
2023-02-28,1060819.3449944614
2023-03-01,1064349.0204352252
2023-03-02,1064497.4257880305
2023-03-03,1069790.3776136858
2023-03-06,1072425.9971149866
2023-03-07,1072374.9759530753
2023-03-08,1072700.8580531387
2023-03-09,1075257.430605957
2023-03-10,1071495.6725426312
2023-03-13,1071476.311883774
2023-03-14,1068805.8597633673
2023-03-15,1072325.8061894958
2023-03-16,1067917.4387217744
2023-03-17,1069578.8583952046
2023-03-20,1068896.4564241813
2023-03-21,1071511.4554328492
2023-03-22,1073169.66565914
2023-03-23,1072774.1197823863
2023-03-24,1073429.4086858307
2023-03-27,1072666.4019558106
2023-03-28,1070855.0142660046
2023-03-29,1071753.7412978415
2023-03-30,1073152.249118774
2023-03-31,1076884.0191440762
2023-04-03,1081093.8750062701
2023-04-04,1083433.3679909972
2023-04-06,1083944.0541909984
2023-04-07,1086238.1140567935
2023-04-10,1078799.7462035003
2023-04-11,1079168.6671730313
2023-04-12,1080436.2247272118
2023-04-13,1079223.3209424245
2023-04-14,1083791.8518405522
2023-04-17,1087481.4797543932
2023-04-18,1087534.881858956
2023-04-19,1086124.1565172686
2023-04-20,1083609.4701041647
2023-04-21,1079009.3737371746
2023-04-24,1078092.0781803618
2023-04-25,1077306.6353450657
2023-04-26,1078147.120162906
2023-04-27,1080279.6140416975
2023-04-28,1083897.4959637455
2023-05-04,1086582.639419498
2023-05-05,1086000.3995286569
2023-05-08,1089297.302506918
2023-05-09,1086803.853860279
2023-05-10,1085054.2344575669
2023-05-11,1084677.5777975419
2023-05-12,1081828.2018529489
2023-05-15,1082848.574613741
2023-05-16,1081048.983960042
2023-05-17,1081182.8146845982
2023-05-18,1080597.1569084218
2023-05-19,1082200.133356226
2023-05-22,1083373.465503898
2023-05-23,1084637.8360941734
2023-05-24,1081491.0567565071
2023-05-25,1079523.849421769
2023-05-26,1081809.1260050123
2023-05-29,1083765.5134466419
2023-05-30,1086625.3545704465
2023-05-31,1085883.9050009786
2023-06-01,1087464.2549260186
2023-06-02,1088707.182458963
2023-06-05,1088773.1517742104
2023-06-06,1085934.2789531802
2023-06-07,1086723.8188758185
2023-06-08,1084462.2835489742
2023-06-09,1085900.4115854863
2023-06-12,1087232.9649345134
2023-06-13,1090169.244052342
2023-06-14,1088401.8298971686
2023-06-15,1091021.155296693
2023-06-16,1091825.9207429665
2023-06-19,1090027.283062026
2023-06-20,1089943.6950182233
2023-06-21,1085553.5460638122
2023-06-26,1082002.9140670325
2023-06-27,1085443.9901547602
2023-06-28,1086500.8975460797
2023-06-29,1088308.0621320175
2023-06-30,1094173.3509330724
2023-07-03,1097036.432595165
2023-07-04,1100534.9016559268
2023-07-05,1097184.7261667224
2023-07-06,1098713.5170976615
2023-07-07,1096822.3165581774
2023-07-10,1097890.0378875686
2023-07-11,1099366.8596499786
2023-07-12,1098312.9494535767
2023-07-13,1102949.840647655
2023-07-14,1106995.1103961326
2023-07-17,1105414.2721140522
2023-07-18,1104565.5081174797
2023-07-19,1105664.631633421
2023-07-20,1098803.7513140847
2023-07-21,1097402.9354591474
2023-07-24,1096307.3259380318
2023-07-25,1104273.0322907283
2023-07-26,1104236.3233992094
2023-07-27,1103349.3146192736
2023-07-28,1106064.8073812719
2023-07-31,1106559.0941802354
2023-08-01,1106360.53601318
2023-08-02,1102706.6889600735
2023-08-03,1104129.1910436244
2023-08-04,1104657.3245004476
2023-08-07,1102446.5231751997
