ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
511010.SH,20211230,126.052,126.058,126.399,126.058,126.372,0.32,0.2539,4845.0,61200.695
511010.SH,20211229,126.021,125.971,126.13,125.971,126.052,0.031,0.0246,1442.0,18176.904
511010.SH,20211228,125.961,125.93,126.039,125.911,126.021,0.06,0.0476,359.0,4522.798
511010.SH,20211227,125.85,125.85,126.024,125.85,125.961,0.111,0.0882,1528.0,19246.403
511010.SH,20211224,125.859,125.811,126.013,125.811,125.85,-0.009,-0.0072,1874.0,23593.294
511010.SH,20211223,125.829,125.836,125.939,125.78,125.859,0.03,0.0238,694.0,8734.789
511010.SH,20211222,125.755,125.752,125.858,125.709,125.829,0.074,0.0588,1766.0,22210.128
511010.SH,20211221,125.806,125.756,125.774,125.706,125.755,-0.051,-0.0405,596.0,7494.418
511010.SH,20211220,125.83,125.822,125.899,125.742,125.806,-0.024,-0.0191,820.0,10317.453
511010.SH,20211217,125.654,125.654,125.839,125.654,125.83,0.176,0.1401,1340.0,16847.021
511010.SH,20211216,125.693,125.743,125.743,125.645,125.654,-0.039,-0.031,667.0,8382.227
511010.SH,20211215,125.682,125.683,125.797,125.639,125.693,0.011,0.0088,2090.0,26266.703
511010.SH,20211214,125.485,125.488,125.877,125.488,125.682,0.197,0.157,6110.0,76835.698
511010.SH,20211213,125.489,125.489,125.521,125.463,125.485,-0.004,-0.0032,918.0,11520.29
511010.SH,20211210,125.41,125.415,125.508,125.41,125.489,0.079,0.063,1132.0,14203.939
511010.SH,20211209,125.455,125.458,125.498,125.389,125.41,-0.045,-0.0359,1561.0,19578.653
511010.SH,20211208,125.424,125.424,125.473,125.424,125.455,0.031,0.0247,596.0,7477.002
511010.SH,20211207,125.481,125.486,125.522,125.424,125.424,-0.057,-0.0454,1855.0,23280.987
511010.SH,20211206,125.23,125.289,125.545,125.289,125.481,0.251,0.2004,3924.0,49248.577
511010.SH,20211203,125.404,125.404,125.437,125.229,125.23,-0.174,-0.1388,1130.0,14162.818
511010.SH,20211202,125.47,125.5,125.5,125.4,125.404,-0.066,-0.0526,1984.0,24888.292
511010.SH,20211201,125.529,125.536,125.579,125.459,125.47,-0.059,-0.047,6891.0,86463.011
511010.SH,20211130,125.511,125.512,125.561,125.47,125.529,0.018,0.0143,6897.0,86588.203
511010.SH,20211129,125.674,125.67,125.698,125.501,125.511,-0.163,-0.1297,7270.0,91275.891
511010.SH,20211126,125.42,125.425,125.818,125.424,125.674,0.254,0.2025,4039.0,50763.112
511010.SH,20211125,125.349,125.323,125.49,125.323,125.42,0.071,0.0566,7333.0,91956.964
511010.SH,20211124,125.258,125.265,125.378,125.265,125.349,0.091,0.0727,6387.0,80066.503
511010.SH,20211123,125.256,125.263,125.266,125.231,125.258,0.002,0.0016,6367.0,79750.301
511010.SH,20211122,125.208,125.208,125.288,125.208,125.256,0.048,0.0383,6879.0,86163.449
