trade_date,nav_satellite_full
2022-02-10,1294920.9526294696
2022-02-11,1285634.938105047
2022-02-14,1277982.6300052344
2022-02-15,1279229.1633100328
2022-02-16,1280714.5112144158
2022-02-17,1284548.5465658074
2022-02-18,1288092.1999215183
2022-02-21,1287283.5081974575
2022-02-22,1283216.2664847157
2022-02-23,1287455.6844870215
2022-02-24,1281278.9538863024
2022-02-25,1283692.4685866318
2022-02-28,1283500.5657058065
2022-03-01,1285583.2171032699
2022-03-02,1286150.5013806599
2022-03-03,1284466.9728211106
2022-03-04,1280861.0687920083
2022-03-07,1276379.037394236
2022-03-08,1267416.6851767004
2022-03-09,1264864.5433921095
2022-03-10,1269330.0830426102
2022-03-11,1272361.3470560233
2022-03-14,1264689.5337063407
2022-03-15,1241432.3119578378
2022-03-16,1255030.4486223352
2022-03-17,1263742.6971995046
2022-03-18,1269831.1214556778
2022-03-21,1271688.8051430795
2022-03-22,1274056.926047936
2022-03-23,1273508.294177962
2022-03-24,1271966.83591776
2022-03-25,1268762.8807611717
2022-03-28,1267959.3460036158
2022-03-29,1265603.6684002
2022-03-30,1274772.6137530832
2022-03-31,1271731.38811283
2022-04-01,1276379.1931607218
2022-04-06,1276815.129545094
2022-04-07,1269990.1415798739
2022-04-08,1271575.1730498557
2022-04-11,1259814.0603604186
2022-04-12,1264873.9777574458
2022-04-13,1260276.308785448
2022-04-14,1266086.2234500288
2022-04-15,1264426.9037347096
2022-04-18,1263598.8962721932
2022-04-19,1263701.6699183814
2022-04-20,1256323.798178245
2022-04-21,1249330.4191809865
2022-04-22,1251126.175644453
2022-04-25,1229633.4919322191
2022-04-26,1226386.3336173748
2022-04-27,1234465.2248179496
2022-04-28,1234701.2637705102
2022-04-29,1246162.3992282765
2022-05-05,1246699.1091675267
2022-05-06,1239323.614096835
2022-05-09,1240627.5687608123
2022-05-10,1244674.76574225
2022-05-11,1246915.6222074828
2022-05-12,1247395.220936855
2022-05-13,1250737.1215108603
2022-05-16,1249720.7305054616
2022-05-17,1252376.633441255
2022-05-18,1251784.0512151078
2022-05-19,1251403.2368279053
2022-05-20,1254964.668329922
2022-05-23,1255295.8660543421
2022-05-24,1248824.179415113
2022-05-25,1254156.7109318906
2022-05-26,1257161.311667174
2022-05-27,1255896.4316208344
2022-05-30,1255823.1173660872
2022-05-31,1257171.210600555
2022-06-01,1256680.1053620183
2022-06-02,1258478.8782291089
2022-06-06,1263857.8558653563
2022-06-07,1262793.83280236
2022-06-08,1264739.7777958605
2022-06-09,1262333.6221484134
2022-06-10,1265167.5922214352
2022-06-13,1264756.171125315
2022-06-14,1263202.6822683602
2022-06-15,1263629.7450284131
2022-06-16,1263590.4501595274
2022-06-17,1266412.024474238
2022-06-20,1266063.6473594764
2022-06-21,1265149.8988800007
2022-06-22,1264106.9409708474
2022-06-23,1267472.8612751244
2022-06-24,1269633.1551093576
2022-06-27,1271286.4098721475
2022-06-28,1272598.7909520885
2022-06-29,1269135.4825631
2022-06-30,1272475.8525317335
2022-07-01,1271696.42281017
2022-07-04,1272929.8699246193
2022-07-05,1271603.637309016
2022-07-06,1268284.4392869468
2022-07-07,1269375.4439270846
2022-07-08,1268292.6834058755
2022-07-11,1264996.6714058863
2022-07-12,1263473.0760940013
2022-07-13,1264635.0290600609
2022-07-14,1265563.1082397802
2022-07-15,1264146.187181672
2022-07-18,1267522.6990039896
2022-07-19,1266807.705077884
2022-07-20,1270331.4326729565
2022-07-21,1268055.4645882351
2022-07-22,1269495.0926139292
2022-07-25,1266577.7238239488
2022-07-26,1269860.0007235638
2022-07-27,1271030.9303183353
2022-07-28,1272083.8704102663
2022-07-29,1273287.0820502867
2022-08-01,1275993.3656388898
2022-08-02,1269900.8574700088
2022-08-03,1266209.2097287967
2022-08-04,1269888.031495141
2022-08-05,1272566.1402048033
2022-08-08,1274213.2563127438
2022-08-09,1274882.7557980672
2022-08-10,1272999.67129988
2022-08-11,1277716.3335129314
2022-08-12,1277669.9282045022
2022-08-15,1281808.9465324003
2022-08-16,1283792.383406438
2022-08-17,1285475.376660328
2022-08-18,1282617.4849756428
2022-08-19,1281029.5897913154
2022-08-22,1283148.3428972317
2022-08-23,1282413.9428640683
2022-08-24,1274548.8094668342
2022-08-25,1275480.26457291
2022-08-26,1274144.8893156839
2022-08-29,1273483.297923793
2022-08-30,1272557.611031322
2022-08-31,1267749.696192261
2022-09-01,1264727.0660189448
2022-09-02,1266926.086019833
2022-09-05,1270034.1945397581
2022-09-06,1274574.9157027903
2022-09-07,1275005.3917383098
2022-09-08,1274343.8639870621
2022-09-09,1275838.1403947717
2022-09-13,1275298.1455497586
2022-09-14,1270181.4058734276
2022-09-15,1265118.2577980007
2022-09-16,1257394.5521841664
2022-09-19,1256300.934909094
2022-09-20,1259197.5725985356
