trade_date,nav_replace_full
2022-05-10,1287275.9258017065
2022-05-11,1287135.9018872366
2022-05-12,1286900.6345159782
2022-05-13,1288536.7910530479
2022-05-16,1288565.948874017
2022-05-17,1290727.211380642
2022-05-18,1290994.4005421302
2022-05-19,1288385.0364653082
2022-05-20,1289738.7452128283
2022-05-23,1290726.9710219603
2022-05-24,1288909.8329759499
2022-05-25,1292954.7497772363
2022-05-26,1295231.571530762
2022-05-27,1294201.9226748897
2022-05-30,1293745.0943756634
2022-05-31,1292446.9692131002
2022-06-01,1291373.1913391184
2022-06-02,1292718.9725024826
2022-06-06,1295103.9811486134
2022-06-07,1293397.083204334
2022-06-08,1294467.0780120883
2022-06-09,1293453.7779733827
2022-06-10,1293857.1645694862
2022-06-13,1294148.842335252
2022-06-14,1290561.0408504696
2022-06-15,1290106.9954464615
2022-06-16,1290930.9754457683
2022-06-17,1292927.5726331584
2022-06-20,1292179.996919606
2022-06-21,1291676.2509754167
2022-06-22,1292578.8223033503
2022-06-23,1294300.4300504634
2022-06-24,1295952.05671736
2022-06-27,1296904.5826470314
2022-06-28,1296822.2234346648
2022-06-29,1293856.4392574837
2022-06-30,1296110.9783654881
2022-07-01,1295558.961297062
2022-07-04,1296031.208552766
2022-07-05,1294879.5914605164
2022-07-06,1293968.320508093
2022-07-07,1294864.647736485
2022-07-08,1294675.061429182
2022-07-11,1292477.098846476
2022-07-12,1291615.8333995915
2022-07-13,1292190.7584839275
2022-07-14,1292765.350489551
2022-07-15,1293518.5408981666
2022-07-18,1295793.5291126112
2022-07-19,1294811.0257189358
2022-07-20,1298496.397279991
2022-07-21,1297235.0089460576
2022-07-22,1300190.9101094082
2022-07-25,1297779.407594617
2022-07-26,1299607.211423432
2022-07-27,1300990.7191966032
2022-07-28,1302956.103109784
2022-07-29,1307677.2377435905
2022-08-01,1309410.1271818248
2022-08-02,1308460.8317458224
2022-08-03,1306607.947592566
2022-08-04,1309864.866100993
2022-08-05,1310543.1980325785
2022-08-08,1311065.9129975268
2022-08-09,1310792.4871427952
2022-08-10,1310047.853886495
2022-08-11,1311864.131716502
2022-08-12,1311824.3576840323
2022-08-15,1316703.0613447735
2022-08-16,1318969.0448225841
2022-08-17,1318697.337663808
2022-08-18,1316572.5145121778
2022-08-19,1316051.0566027493
2022-08-22,1315369.6473057494
2022-08-23,1314578.9333356146
2022-08-24,1311890.5063102017
2022-08-25,1310774.9001524039
2022-08-26,1310493.5896438009
2022-08-29,1308058.9766477635
2022-08-30,1307810.4106517911
2022-08-31,1304303.2474253036
2022-09-01,1300864.2295872835
2022-09-02,1304121.7917708936
2022-09-05,1305945.8264954782
2022-09-06,1308823.6875763773
2022-09-07,1308208.9156030335
2022-09-08,1309521.147039616
2022-09-09,1308332.4807159891
2022-09-13,1308731.8228641292
2022-09-14,1304146.3841976034
2022-09-15,1301024.9579208447
2022-09-16,1297575.4516882328
2022-09-19,1296966.3927240008
2022-09-20,1300430.3420062978
2022-09-21,1300638.7480687867
2022-09-22,1298961.2806880348
2022-09-23,1296654.3601974614
2022-09-26,1292689.1782225135
2022-09-27,1294264.410337843
2022-09-28,1291179.420769854
2022-09-29,1291076.0347319613
2022-09-30,1289959.6007457555
2022-10-10,1289326.4370339743
2022-10-11,1290289.9646432635
2022-10-12,1292909.2226036799
2022-10-13,1293829.8374180885
2022-10-14,1299288.4448615448
2022-10-17,1296506.6539943418
2022-10-18,1298491.0246837211
2022-10-19,1296206.723100306
2022-10-20,1293088.2918396886
2022-10-21,1292064.9540642684
2022-10-24,1293551.8929092877
2022-10-25,1292666.5869981807
2022-10-26,1293710.2209597805
2022-10-27,1292257.044585871
2022-10-28,1288474.6249651506
2022-10-31,1290132.5334726593
2022-11-01,1291145.6344879733
2022-11-02,1291603.9269788908
2022-11-03,1290571.2136499605
2022-11-04,1292145.9386637197
2022-11-07,1292203.8033496188
2022-11-08,1292389.0156180237
2022-11-09,1297755.9631611782
2022-11-10,1295322.959119492
2022-11-11,1298628.6030760785
2022-11-14,1293848.2039586278
2022-11-15,1294352.3140388096
2022-11-16,1292656.0869207173
2022-11-17,1293480.5205707443
2022-11-18,1290461.121721183
2022-11-21,1292475.4900959947
2022-11-22,1290745.9048454503
2022-11-23,1292361.755257671
2022-11-24,1295065.364970614
2022-11-25,1294069.2081368475
2022-11-28,1291241.3541282269
2022-11-29,1290508.952232895
2022-11-30,1290671.552510476
2022-12-01,1293562.8717611118
2022-12-02,1295816.9484308981
2022-12-05,1293822.0376511181
2022-12-06,1290061.4303960202
2022-12-07,1288532.5604794892
2022-12-08,1290409.2155284549
2022-12-09,1291117.729379607
2022-12-12,1289767.5516365469
2022-12-13,1285898.3768138161
2022-12-14,1287786.2222615057
2022-12-15,1286173.2382097282
2022-12-16,1282265.1855812508
2022-12-19,1282220.5462496805
2022-12-20,1280037.006705041
2022-12-21,1281445.1326897216
2022-12-22,1282004.1950425976
2022-12-23,1280175.327503619
2022-12-26,1281230.169935406
2022-12-27,1283571.3986178515
2022-12-28,1284534.2757326893
2022-12-29,1282277.3365358792
2022-12-30,1284074.5270539606
2023-01-03,1285512.4175171768
2023-01-04,1287291.67200493
2023-01-05,1288381.6716984897
2023-01-06,1285678.5866510214
2023-01-09,1289493.680116777
2023-01-10,1287557.261409762
2023-01-11,1287273.631598735
2023-01-12,1286824.5937987408
2023-01-13,1288141.1501467817
2023-01-16,1289093.7924750533
2023-01-17,1290037.7560348313
2023-01-18,1290477.9407953606
2023-01-19,1289458.0432003806
2023-01-20,1292652.5745458314
2023-01-30,1295817.6337097904
2023-01-31,1293049.4995665532
2023-02-01,1297220.6075726007
2023-02-02,1300130.9403636446
2023-02-03,1297440.046192079
2023-02-06,1292129.644096137
2023-02-07,1291859.4689257597
2023-02-08,1292325.1242328857
2023-02-09,1292753.06748282
2023-02-10,1289952.1745880065
2023-02-13,1291090.5302594013
2023-02-14,1291056.6418307705
2023-02-15,1290626.6216799724
2023-02-16,1288692.5351076247
2023-02-17,1283973.111902728
2023-02-20,1286215.5335505928
2023-02-21,1286800.5632385733
2023-02-22,1287043.0455216484
2023-02-23,1287062.9120879935
2023-02-24,1286501.9893872787
2023-02-27,1285392.5603259245
2023-02-28,1286102.5354582854
2023-03-01,1287904.60215011
2023-03-02,1287455.0583997522
2023-03-03,1290465.7311382762
2023-03-06,1293998.2097019118
2023-03-07,1294861.9083450807
2023-03-08,1293726.3633977557
2023-03-09,1295203.3066315977
2023-03-10,1293941.804452813
2023-03-13,1294679.921745118
2023-03-14,1294838.7266295047
2023-03-15,1296623.3451572957
2023-03-16,1296473.2397426332
2023-03-17,1299022.173813643
2023-03-20,1302004.9746920916
2023-03-21,1302286.8301074556
2023-03-22,1302459.746943333
2023-03-23,1302024.7473204082
2023-03-24,1302616.2195968325
2023-03-27,1302258.814862276
2023-03-28,1301161.7655353253
2023-03-29,1301757.0429562891
2023-03-30,1302871.0541189387
2023-03-31,1304983.3244333563
2023-04-03,1305869.8363579735
2023-04-04,1307496.308010113
2023-04-06,1308339.9681544541
2023-04-07,1309715.4430790145
2023-04-10,1307480.8370371545
2023-04-11,1307969.868790588
2023-04-12,1308658.449878054
2023-04-13,1307964.330408175
2023-04-14,1309493.4617430933
2023-04-17,1309880.3185294296
2023-04-18,1310192.8223878369
2023-04-19,1310118.175866549
2023-04-20,1309131.179144234
2023-04-21,1307985.477042043
2023-04-24,1307370.666911617
2023-04-25,1307734.9622217685
2023-04-26,1308365.5926570697
2023-04-27,1310608.969965564
2023-04-28,1312056.8864803896
2023-05-04,1314113.1547907
2023-05-05,1315428.3172052184
2023-05-08,1315928.428766104
2023-05-09,1315630.847539384
2023-05-10,1316576.0358796017
2023-05-11,1318337.9329372086
2023-05-12,1316207.1103901677
2023-05-15,1317237.0792168817
2023-05-16,1316512.8817070802
2023-05-17,1316791.508988267
2023-05-18,1317047.8078543318
2023-05-19,1318819.1902516093
2023-05-22,1320238.2511289415
2023-05-23,1322692.3313982277
2023-05-24,1320774.4027047893
2023-05-25,1319602.1136371647
2023-05-26,1320246.0624197912
2023-05-29,1322315.0169414121
2023-05-30,1323506.7473836835
2023-05-31,1324624.576737671
2023-06-01,1325760.502271402
2023-06-02,1326337.6930692072
2023-06-05,1326590.8065529699
2023-06-06,1326475.7809398456
2023-06-07,1327727.1168021122
2023-06-08,1325398.8275567936
2023-06-09,1327723.7371571255
2023-06-12,1329408.184457198
2023-06-13,1332474.33495261
2023-06-14,1332193.150267715
2023-06-15,1330606.259186259
2023-06-16,1329900.2311949427
2023-06-19,1329253.779079293
2023-06-20,1329474.0751618673
2023-06-21,1328776.486224982
2023-06-26,1327397.933965237
2023-06-27,1327780.676104763
2023-06-28,1328800.7398264958
2023-06-29,1330353.7466197025
2023-06-30,1333916.4763243478
2023-07-03,1336239.251412814
2023-07-04,1337509.1226761793
2023-07-05,1337131.3468641262
2023-07-06,1338350.0757610262
2023-07-07,1337515.7576821742
2023-07-10,1337120.8910613877
2023-07-11,1338132.4866910598
2023-07-12,1337977.5877084103
2023-07-13,1341130.8721972224
2023-07-14,1342916.5556189474
2023-07-17,1343534.0652421024
2023-07-18,1344633.690175631
2023-07-19,1347524.6086678759
2023-07-20,1343868.5078807957
2023-07-21,1342595.9652728238
2023-07-24,1342025.6107432584
2023-07-25,1343219.499818265
2023-07-26,1343911.8868715197
2023-07-27,1344743.2854123623
2023-07-28,1344342.3186491104
2023-07-31,1344449.1683508982
2023-08-01,1345001.8433879807
2023-08-02,1343110.754723892
2023-08-03,1342794.575592802
2023-08-04,1343541.315480707
2023-08-07,1342383.570009695
2023-08-08,1341484.5759717901
2023-08-09,1340470.1445241154
2023-08-10,1339065.4897669414
2023-08-11,1339305.6235608535
2023-08-14,1339284.30806077
2023-08-15,1342249.5391876607
2023-08-16,1341457.8445003796
2023-08-17,1343156.3586391218
2023-08-18,1341274.0935046603
2023-08-21,1342162.1252712994
2023-08-22,1341664.9835941794
2023-08-23,1340735.962983477
2023-08-24,1343533.0065475958
2023-08-25,1338337.5993659538
2023-08-28,1337915.4799861906
2023-08-29,1340965.166128062
2023-08-30,1345080.5202581591
2023-08-31,1345766.3734192385
2023-09-01,1345025.4474466152
2023-09-04,1345026.9957399464
2023-09-05,1344810.6938368615
2023-09-06,1344170.006901035
2023-09-07,1339283.2327582182
2023-09-08,1340975.6574965087
2023-09-11,1341357.978046979
2023-09-12,1342433.3270995228
2023-09-13,1341414.7822647912
2023-09-14,1343149.0341887036
2023-09-15,1341435.9881977928
2023-09-18,1338902.689433565
2023-09-19,1340787.879160449
2023-09-20,1342484.0037442101
2023-09-21,1339404.098944103
2023-09-22,1340948.2438675514
2023-09-25,1341397.5614425086
2023-09-26,1339394.0199536907
2023-09-27,1334461.292915165
2023-09-28,1336747.8222591083
2023-10-09,1336145.414270595
2023-10-10,1334014.429195552
2023-10-11,1332354.180486288
2023-10-12,1334701.4481632654
2023-10-13,1334619.2847597082
2023-10-16,1333680.1374584292
2023-10-17,1333441.7453673596
2023-10-18,1331462.2420089191
2023-10-19,1327655.326798702
2023-10-20,1328584.8902392478
2023-10-23,1323561.0923925692
2023-10-24,1329005.4172904824
2023-10-25,1330238.885635393
2023-10-26,1330200.4465594795
2023-10-27,1333297.6332793445
2023-10-30,1336122.9980211824
2023-10-31,1335664.008238616
2023-11-01,1335786.5980573224
2023-11-02,1337200.2000595937
2023-11-03,1340796.5980952352
2023-11-06,1342779.633313237
2023-11-07,1342999.4550905745
2023-11-08,1343120.7962469636
2023-11-09,1341944.324081216
2023-11-10,1341310.2960400295
2023-11-13,1343526.0590621384
2023-11-14,1344786.984617869
2023-11-15,1348051.9421589235
2023-11-16,1345945.4003016308
2023-11-17,1347327.2991626633
2023-11-20,1345916.9286870253
2023-11-21,1347334.680243374
2023-11-22,1347815.7549832815
2023-11-23,1346312.0943209082
2023-11-24,1350857.4282621047
2023-11-27,1355676.571263675
2023-11-28,1356601.57745943
2023-11-29,1356154.7037264162
2023-11-30,1355930.4182685355
2023-12-01,1356778.6239247462
2023-12-04,1357503.3676360596
2023-12-05,1354079.6975770646
2023-12-06,1355014.6047778274
2023-12-07,1355065.0458746625
2023-12-08,1356708.9188994113
2023-12-11,1354628.2508765277
2023-12-12,1355700.5797062211
2023-12-13,1357343.6604916954
2023-12-14,1361002.7952619311
2023-12-15,1360338.2080569603
2023-12-18,1361075.6970655823
2023-12-19,1360647.1209643832
2023-12-20,1361833.909642437
2023-12-21,1358017.413773696
2023-12-22,1360387.90425799
2023-12-25,1361448.518055367
2023-12-26,1362627.680839657
2023-12-27,1365083.4248333317
2023-12-28,1368285.3877954977
2023-12-29,1369864.1239800705
2024-01-02,1372463.9222717753
2024-01-03,1369736.5301490068
2024-01-04,1370066.1118626317
2024-01-05,1370110.7820792133
2024-01-08,1366831.8400232121
2024-01-09,1368806.8367515625
2024-01-10,1367892.4081310171
2024-01-11,1369646.3022093254
2024-01-12,1368862.089532717
2024-01-15,1369171.923283988
2024-01-16,1368472.7380963448
2024-01-17,1366849.1159605174
2024-01-18,1365806.678717533
2024-01-19,1368958.8057135686
2024-01-22,1368214.1830372487
2024-01-23,1367390.1193642085
2024-01-24,1366751.403442184
2024-01-25,1368468.0489482637
2024-01-26,1369608.0960778059
2024-01-29,1368315.157622719
2024-01-30,1370380.1592074744
2024-01-31,1367943.0355930931
2024-02-01,1366778.0029290977
2024-02-02,1367524.4195969843
2024-02-05,1365845.2657616327
2024-02-06,1366718.5238054004
2024-02-07,1365824.4342022738
2024-02-08,1371576.3663103513
2024-02-19,1371169.4135141813
2024-02-20,1372827.1025529085
2024-02-21,1373847.6395042192
2024-02-22,1376270.8734737686
2024-02-23,1378969.5750004004
2024-02-26,1378923.9249969916
2024-02-27,1380335.4499718547
2024-02-28,1377754.6546997349
2024-02-29,1379243.5216157234
2024-03-01,1380898.3125999405
2024-03-04,1383350.2518732226
2024-03-05,1383784.1131721542
2024-03-06,1386706.7558856027
2024-03-07,1388539.1196578862
2024-03-08,1389318.2178032547
2024-03-11,1389240.8743413938
2024-03-12,1387877.8960850495
2024-03-13,1387269.0866366832
2024-03-14,1386289.5306270684
2024-03-15,1388504.818802864
2024-03-18,1388884.077279707
2024-03-19,1389927.190493002
2024-03-20,1390848.5483935014
2024-03-21,1395357.536141605
2024-03-22,1393908.4960604825
2024-03-25,1393140.4040654209
2024-03-26,1394044.8984713918
2024-03-27,1393172.7912663845
2024-03-28,1395409.2289919597
2024-03-29,1399860.2975791334
2024-04-01,1402036.7938662095
2024-04-02,1402476.1383200618
2024-04-03,1404818.020307752
2024-04-08,1408726.3474825611
2024-04-09,1410752.3297399378
2024-04-10,1411709.9512664485
2024-04-11,1410458.4666957573
2024-04-12,1416300.1603670246
2024-04-15,1411632.6091629283
2024-04-16,1407527.412452489
2024-04-17,1410547.2832395192
2024-04-18,1410952.942315572
2024-04-19,1409806.6802462367
2024-04-22,1407087.876565964
