trade_date,nav_baseline
2020-10-30,1238327.1812706252
2020-11-02,1242357.9581266665
2020-11-03,1248157.623809882
2020-11-04,1252013.7750860236
2020-11-05,1257169.8923775882
2020-11-06,1253841.2712326464
2020-11-09,1261049.5732305623
2020-11-10,1255670.5974911398
2020-11-11,1252037.6542635441
2020-11-12,1252630.9286547217
2020-11-13,1248415.8208215234
2020-11-16,1254327.7384087043
2020-11-17,1250862.5847762623
2020-11-18,1248912.1490523086
2020-11-19,1248752.4862587324
2020-11-20,1251034.0529038713
2020-11-23,1257373.2669195142
2020-11-24,1251743.5017209542
2020-11-25,1245522.1210270429
2020-11-26,1245194.2183710523
2020-11-27,1247410.2687715972
2020-11-30,1245012.7368605472
2020-12-01,1251445.728248876
2020-12-02,1252444.2273059802
2020-12-03,1250924.7103675196
2020-12-04,1252371.251023606
2020-12-07,1248352.1984751232
2020-12-08,1248987.3116936767
2020-12-09,1243760.7229630558
2020-12-10,1242627.2459485193
2020-12-11,1237633.015475595
2020-12-14,1238516.7003259507
2020-12-15,1239839.742471257
2020-12-16,1240482.1505870735
2020-12-17,1244176.0865563517
2020-12-18,1244860.0036622013
2020-12-21,1251758.7801592622
2020-12-22,1245335.4700447752
2020-12-23,1247908.6713074339
2020-12-24,1244642.392356334
2020-12-25,1249362.0001598927
2020-12-28,1248530.759028461
2020-12-29,1246614.146712224
2020-12-30,1251911.5278875444
2020-12-31,1258255.9374892905
2021-01-04,1262396.4103059357
2021-01-05,1265974.0872241561
2021-01-06,1269183.0664690533
2021-01-07,1271102.8266700122
2021-01-08,1271041.4351502038
2021-01-11,1263888.8823123197
2021-01-12,1270416.968231053
2021-01-13,1268980.9963689097
2021-01-14,1266962.146471112
2021-01-15,1266544.7266329373
2021-01-18,1269701.078529365
2021-01-19,1266704.3774506128
2021-01-20,1269461.11846623
2021-01-21,1276952.8215419925
2021-01-22,1276904.7405279062
2021-01-25,1276702.6893095037
2021-01-26,1268123.864210049
2021-01-27,1269821.591037561
2021-01-28,1257280.2433540903
2021-01-29,1253584.0009155017
2021-02-01,1257340.3752157323
2021-02-02,1262313.033817408
2021-02-03,1261206.5006971494
2021-02-04,1256082.7081324633
2021-02-05,1254475.7302410614
2021-02-08,1259185.0025708764
2021-02-09,1266382.0554859322
2021-02-10,1272873.4225138195
2021-02-18,1271864.2272559728
2021-02-19,1275164.8509906176
2021-02-22,1271838.0870634308
2021-02-23,1269520.8879012496
2021-02-24,1262262.429900575
2021-02-25,1265014.3423585873
2021-02-26,1252783.1234608986
2021-03-01,1260383.0979890795
2021-03-02,1260390.8667522988
2021-03-03,1265887.3085745072
2021-03-04,1256156.5917041409
2021-03-05,1254430.750422582
2021-03-08,1247300.78546375
2021-03-09,1240417.4185603692
2021-03-10,1242727.3810567316
2021-03-11,1250569.2321510448
2021-03-12,1253080.737754664
2021-03-15,1249859.9513639905
2021-03-16,1251681.3625176526
2021-03-17,1252296.7836708555
2021-03-18,1254673.1290543294
2021-03-19,1247518.727470847
2021-03-22,1251390.6924292517
2021-03-23,1249020.3742903052
2021-03-24,1250893.2481815137
2021-03-25,1250317.3403864591
2021-03-26,1253882.6867145917
2021-03-29,1255772.6607501053
2021-03-30,1257289.5068045263
2021-03-31,1255881.3197726607
2021-04-01,1260787.0594859705
2021-04-02,1263625.899263818
2021-04-06,1263738.0859464325
2021-04-07,1264187.6677264345
2021-04-08,1264446.0011702662
2021-04-09,1262796.0897466314
2021-04-12,1261051.879782626
2021-04-13,1260951.6206116306
2021-04-14,1264295.7777558202
2021-04-15,1263089.3426342555
2021-04-16,1266956.9273206969
2021-04-19,1271017.268134596
