ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
H30269.CSI,20190307,8459.8061,8494.2532,8515.1212,8399.3217,8509.1033,-49.2972,-0.5793,44288508.56,35350480.443
H30269.CSI,20190306,8509.1033,8444.2306,8513.0155,8403.2629,8435.651,73.4523,0.8707,46905877.21,35158871.066
H30269.CSI,20190305,8435.651,8334.7737,8436.7656,8311.0494,8350.0817,85.5693,1.0248,43178553.12,34756666.714
H30269.CSI,20190304,8350.0817,8279.0307,8475.5911,8263.7945,8235.7102,114.3715,1.3887,62636217.11,51614045.768
H30269.CSI,20190301,8235.7102,8170.3393,8237.1446,8108.6428,8139.4673,96.2429,1.1824,34507498.96,29064910.494
H30269.CSI,20190228,8139.4673,8163.2469,8214.2648,8120.1534,8162.6426,-23.1753,-0.2839,27719137.91,21968132.598
H30269.CSI,20190227,8162.6426,8144.2555,8273.012,8103.4141,8142.0365,20.6061,0.2531,44354486.4,33312928.707
H30269.CSI,20190226,8142.0365,8198.4722,8250.5201,8126.8398,8204.6317,-62.5952,-0.7629,52166423.21,38975534.617
H30269.CSI,20190225,8204.6317,7908.8048,8216.3847,7908.8048,7876.061,328.5707,4.1718,59865398.63,45228447.457
H30269.CSI,20190222,7876.061,7802.5565,7876.7911,7750.7785,7815.2364,60.8246,0.7783,23032027.56,17207342.699
H30269.CSI,20190221,7815.2364,7868.2228,7912.4003,7799.9701,7867.2202,-51.9838,-0.6608,20285321.06,16265526.513
H30269.CSI,20190220,7867.2202,7860.8839,7885.4412,7821.0676,7857.2293,9.9909,0.1272,17523568.18,14995686.299
H30269.CSI,20190219,7857.2293,7892.2056,7917.5718,7817.448,7865.3474,-8.1181,-0.1032,25308040.55,19672416.924
H30269.CSI,20190218,7865.3474,7744.5301,7865.3474,7744.5301,7703.9479,161.3995,2.095,24106143.55,18849178.927
H30269.CSI,20190215,7703.9479,7824.9781,7824.9781,7699.8551,7845.7986,-141.8507,-1.808,20900996.71,17299216.652
H30269.CSI,20190214,7845.7986,7855.599,7873.6712,7813.4926,7861.8342,-16.0356,-0.204,20196986.54,14664000.988
H30269.CSI,20190213,7861.8342,7778.6262,7874.8389,7757.3092,7774.5371,87.2971,1.1229,23933870.47,18561066.001
H30269.CSI,20190212,7774.5371,7726.494,7789.6656,7720.2974,7736.977,37.5601,0.4855,16012261.86,12981106.686
H30269.CSI,20190211,7736.977,7656.1979,7739.7736,7643.1928,7668.4358,68.5412,0.8938,15238777.84,12380312.723
H30269.CSI,20190201,7668.4358,7624.9385,7668.4358,7588.9732,7589.7438,78.692,1.0368,13755975.02,11501116.718
H30269.CSI,20190131,7589.7438,7573.7472,7635.0383,7560.0183,7561.1462,28.5976,0.3782,17707498.23,14305710.984
H30269.CSI,20190130,7561.1462,7570.9863,7615.5836,7544.4188,7589.8658,-28.7196,-0.3784,13703834.06,11571788.096
H30269.CSI,20190129,7589.8658,7540.4082,7594.7995,7476.4667,7538.8702,50.9956,0.6764,15176755.2,12042093.984
H30269.CSI,20190128,7538.8702,7577.8108,7624.6403,7526.5308,7545.3278,-6.4576,-0.0856,14818111.89,12192566.721
H30269.CSI,20190125,7545.3278,7517.1659,7582.0576,7517.1659,7504.4506,40.8772,0.5447,18174627.66,14685191.311
H30269.CSI,20190124,7504.4506,7494.6635,7521.1264,7469.3841,7483.4536,20.997,0.2806,12906140.67,10019699.295
H30269.CSI,20190123,7483.4536,7448.9278,7495.0894,7442.7077,7448.5719,34.8817,0.4683,11713465.01,8484134.588
H30269.CSI,20190122,7448.5719,7492.0046,7502.6906,7433.1174,7487.8703,-39.2984,-0.5248,13057408.81,10132673.97
H30269.CSI,20190121,7487.8703,7481.6207,7521.2283,7476.2133,7475.8722,11.9981,0.1605,18595504.89,13366613.664
H30269.CSI,20190118,7475.8722,7457.6229,7481.8036,7426.5814,7446.2068,29.6654,0.3984,21799933.5,15575356.403
H30269.CSI,20190117,7446.2068,7436.5138,7469.4437,7403.0692,7423.5377,22.6691,0.3054,13737751.64,9982400.337
H30269.CSI,20190116,7423.5377,7408.9873,7434.8872,7403.1478,7414.1997,9.338,0.1259,10130214.98,7979979.469
H30269.CSI,20190115,7414.1997,7349.6243,7421.5739,7327.0741,7344.3511,69.8486,0.9511,12279471.89,10059254.284
H30269.CSI,20190114,7344.3511,7370.1882,7388.7311,7333.0319,7375.0432,-30.6921,-0.4162,9804826.14,7426333.892
H30269.CSI,20190111,7375.0432,7355.4736,7380.7186,7324.151,7340.0704,34.9728,0.4765,10868179.72,8337624.563
H30269.CSI,20190110,7340.0704,7359.043,7383.4253,7336.0631,7370.558,-30.4876,-0.4136,12717403.27,9128888.626
H30269.CSI,20190109,7370.558,7347.8334,7454.08,7345.3537,7323.9436,46.6144,0.6365,17542553.16,14076395.546
H30269.CSI,20190108,7323.9436,7313.5169,7329.1936,7284.6131,7320.4983,3.4453,0.0471,13218618.22,8391300.162
H30269.CSI,20190107,7320.4983,7323.565,7335.8142,7288.2548,7285.1929,35.3054,0.4846,13854814.75,10721198.732
H30269.CSI,20190104,7285.1929,7151.5415,7285.7778,7138.1819,7188.2898,96.9031,1.3481,13690911.96,11121071.753
H30269.CSI,20190103,7188.2898,7172.4801,7248.2312,7167.3783,7189.7299,-1.4401,-0.02,10192753.16,8113765.945
H30269.CSI,20190102,7189.7299,7291.7716,7292.8646,7172.9902,7293.0424,-103.3125,-1.4166,12504814.64,9461823.103
H30269.CSI,20181228,7293.0424,7260.5151,7306.4874,7246.4869,7258.89,34.1524,0.4705,13195111.3,10986367.998
H30269.CSI,20181227,7258.89,7325.3917,7333.8945,7250.2069,7257.3945,1.4955,0.0206,14326010.6,11798739.529
H30269.CSI,20181226,7257.3945,7223.3074,7272.8019,7214.8081,7236.6401,20.7544,0.2868,10857698.18,8916313.638
H30269.CSI,20181225,7236.6401,7222.4032,7251.7758,7130.6902,7266.206,-29.5659,-0.4069,15108426.64,11638191.707
H30269.CSI,20181224,7266.206,7219.234,7278.148,7204.4172,7239.2187,26.9873,0.3728,11506448.9,9752712.757
H30269.CSI,20181221,7239.2187,7263.4139,7272.3893,7198.1782,7284.2303,-45.0116,-0.6179,16166114.38,13444091.886
